oid,dataset_id,provider_name,Species,common_name,lat,lon,date,year,date_string
17819341,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,45,137.9,8/24/2011,2011,20110824
17819342,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,44,138.9,8/11/2011,2011,20110811
17819344,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,44.79,138.0,8/14/2011,2011,20110814
17819345,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,44.70,138.8,9/12/2011,2011,20110912
17819347,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,45,138.5,8/14/2011,2011,20110814
17819348,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,44.10,139.1,8/4/2011,2011,20110804
17819349,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,44.10,139.5,8/4/2011,2011,20110804
17819350,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,44.20,139.3,8/12/2011,2011,20110812
17819352,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,44.20,139.9,9/21/2011,2011,20110921
17819353,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,44.29,140,10/23/2011,2011,20111023
17819361,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,44.39,139.9,8/6/2011,2011,20110806
17819362,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,44.60,139.3,8/4/2011,2011,20110804
17819363,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,44.60,139.1,8/15/2011,2011,20110815
17819364,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,44.60,139.9,8/14/2011,2011,20110814
17819376,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,45.20,137.3,8/24/2011,2011,20110824
17819377,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,45.39,137.4,8/28/2011,2011,20110828
17819380,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,45,137.9,8/24/2011,2011,20110824
17819382,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,45.20,137.9,8/26/2011,2011,20110826
17819383,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,45.29,137.9,9/1/2011,2011,20110901
17819384,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,45.10,138.1,8/26/2011,2011,20110826
