oid,dataset_id,provider_name,Species,common_name,lat,lon,date,year
10954063,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.299,47,11/19/2011,2011
10954065,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.5,46.60,11/21/2011,2011
10954066,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.5,46.29,8/6/2011,2011
10954069,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.700,46.39,8/7/2011,2011
10954070,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.600,46.60,11/20/2011,2011
10954071,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.799,46.60,8/7/2011,2011
10954073,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.100,47.20,11/13/2011,2011
10954074,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.100,47.10,11/13/2011,2011
10954075,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.200,47.29,11/18/2011,2011
10954082,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.200,47.20,11/18/2011,2011
10954092,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.399,47.89,4/5/2011,2011
10954093,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.799,47.39,4/6/2011,2011
10954094,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,3,47.29,4/7/2011,2011
10954096,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.200,48.10,4/4/2011,2011
10954097,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.200,48.10,4/4/2011,2011
10954099,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.299,49.70,12/8/2011,2011
10954100,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.299,49.79,12/8/2011,2011
10954101,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.299,49.79,12/8/2011,2011
10954102,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.600,49.79,12/9/2011,2011
10954114,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,3.5,47.70,8/8/2011,2011
10954115,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,3.5,47.20,12/20/2011,2011
10954116,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,3.5,47.39,12/20/2011,2011
10954119,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,3.799,47.39,12/21/2011,2011
10954120,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,3.899,47.5,12/22/2011,2011
10954123,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,3.600,47.89,8/9/2011,2011
10954124,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,3.700,48,8/9/2011,2011
10954126,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,3.700,48.10,8/9/2011,2011
10954128,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,3.799,48.29,8/9/2011,2011
10954146,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,4.5,48.10,4/21/2011,2011
10954149,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,4.799,48.29,12/25/2011,2011
10954150,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,4.799,48.20,12/26/2011,2011
10954153,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,4.900,49.20,8/11/2011,2011
10954154,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,5.099,48.39,12/27/2011,2011
10954159,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,5.200,48.60,4/25/2011,2011
10954160,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,5.299,48.5,12/28/2011,2011
10954163,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,5.299,48.60,12/29/2011,2011
10954169,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,5.900,48.89,12/31/2011,2011
10954173,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,5.400,49.60,8/11/2011,2011
10954175,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,5.700,49.20,4/26/2011,2011
10954176,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,5.5,49.70,8/11/2011,2011
10954177,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,5.599,49.79,8/12/2011,2011
10954178,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,5.799,49.89,8/12/2011,2011
10954180,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,6,49,1/1/2012,2012
10954181,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,6.099,49,1/1/2012,2012
10954182,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,6.099,49,1/1/2012,2012
10954184,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,6.299,49.10,1/2/2012,2012
10954185,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,6.299,49.10,1/3/2012,2012
10954186,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,6.299,49.20,1/3/2012,2012
10954187,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,6.400,49.10,1/3/2012,2012
10954188,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,6.5,49.39,1/4/2012,2012
10954190,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,6.799,49.5,1/4/2012,2012
10954191,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,6.799,49.29,1/5/2012,2012
10954196,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,7.599,49.79,1/9/2012,2012
10954197,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,7.599,49.79,1/10/2012,2012
10954205,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.100,50.39,12/5/2011,2011
10954213,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.599,50.39,3/30/2011,2011
10954214,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.599,50.39,3/29/2011,2011
10954215,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.699,50.29,3/30/2011,2011
10954218,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1,50.29,12/6/2011,2011
10954219,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.699,50.60,1/22/2011,2011
10954220,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.699,50.79,1/22/2011,2011
10954221,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.800,50.60,1/23/2011,2011
10954222,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.800,50.70,1/23/2011,2011
10954224,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.900,50.79,1/23/2011,2011
10954225,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.900,50.70,1/23/2011,2011
10954226,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0,51.39,3/27/2011,2011
10954227,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0,51.39,3/27/2011,2011
10954228,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.200,51.10,3/28/2011,2011
10954229,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.200,51.20,3/28/2011,2011
10954230,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.200,51,3/28/2011,2011
10954232,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.900,51,1/23/2011,2011
10954233,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1,51.39,1/24/2011,2011
10954235,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0,52.39,12/13/2010,2010
10954236,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.200,52.60,12/13/2010,2010
10954240,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.5,52.70,12/15/2010,2010
10954241,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.5,52.70,12/15/2010,2010
10954242,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.800,52.89,12/16/2010,2010
10954243,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1,52.60,12/16/2010,2010
10954255,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.800,53.20,12/16/2010,2010
10954257,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.900,53.20,11/27/2011,2011
10954260,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.699,53.89,12/18/2010,2010
10954261,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.699,53.79,12/17/2010,2010
10954262,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.699,53.89,12/18/2010,2010
10954263,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.100,55,12/20/2010,2010
10954264,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.200,54.60,12/19/2010,2010
10954265,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.200,55,12/20/2010,2010
10954268,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.699,54.20,12/18/2010,2010
10954269,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.800,54.79,12/19/2010,2010
10954275,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.100,50.29,12/7/2011,2011
10954277,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.2,50.29,12/7/2011,2011
10954278,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.3,50.20,12/7/2011,2011
10954279,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.5,50,12/7/2011,2011
10954281,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.7,50.10,12/7/2011,2011
10954286,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1,51.79,1/24/2011,2011
10954288,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.100,52.39,1/25/2011,2011
10954291,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.100,52.70,1/26/2011,2011
10954294,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.3,53,1/27/2011,2011
10954295,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.100,53.29,11/28/2011,2011
10954297,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.3,53,1/27/2011,2011
10954298,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.3,53.39,11/28/2011,2011
10954301,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.399,53.39,11/28/2011,2011
10954306,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.8,53.10,1/28/2011,2011
10954311,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1,54.79,12/5/2011,2011
10954312,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.2,54.70,12/4/2011,2011
10954321,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.7,54.29,12/3/2011,2011
10954326,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.700,53.10,1/30/2011,2011
10954327,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.799,53.20,1/30/2011,2011
10954328,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.899,53.20,1/30/2011,2011
10954329,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,3,53.20,1/31/2011,2011
10954330,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,3,53.20,1/31/2011,2011
10954335,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,3.600,53.29,2/1/2011,2011
10954336,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,3.799,53.20,2/1/2011,2011
10954337,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,3.899,53.20,2/2/2011,2011
10954338,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,4.099,53.10,2/2/2011,2011
10954339,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,4.099,53.20,2/2/2011,2011
10954343,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,4.400,53.5,2/4/2011,2011
10954350,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,4.400,53.89,2/6/2011,2011
10954354,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,4.5,54.10,2/7/2011,2011
10954358,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.100,55.10,12/21/2010,2010
10954360,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0,55.39,12/21/2010,2010
10954361,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.100,55,12/20/2010,2010
10954362,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.200,55.20,12/21/2010,2010
10954363,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.100,55.39,12/21/2010,2010
10954364,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0,55.5,12/21/2010,2010
10954365,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0,55.70,12/22/2010,2010
10954366,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0,55.79,12/22/2010,2010
10954367,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.100,55.89,12/22/2010,2010
10954370,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.800,55.20,12/8/2011,2011
10954372,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.699,55.29,12/8/2011,2011
10954380,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1,55.70,12/10/2011,2011
10954381,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.100,56.20,12/23/2010,2010
10954382,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.100,56.39,12/23/2010,2010
10954383,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.100,56.60,12/24/2010,2010
10954388,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.200,56.70,6/9/2011,2011
10954392,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.599,56.89,6/10/2011,2011
10954393,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.699,56.89,6/10/2011,2011
10954394,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1,57,6/11/2011,2011
10954395,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.400,57.39,12/25/2010,2010
10954396,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.400,57.39,12/25/2010,2010
10954397,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.5,57.39,12/25/2010,2010
10954398,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.5,57.39,12/25/2010,2010
10954399,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,0.599,57.39,12/25/2010,2010
10954400,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1,57,6/11/2011,2011
10954401,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1,57.29,6/11/2011,2011
10954403,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1,55.79,12/10/2011,2011
10954404,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1,55.79,12/10/2011,2011
10954406,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.399,56,12/11/2011,2011
10954408,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.399,56.29,12/11/2011,2011
10954409,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.399,56,12/11/2011,2011
10954413,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.5,56.39,12/12/2011,2011
10954416,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.600,56.5,12/13/2011,2011
10954424,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1,57,6/11/2011,2011
10954425,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.3,57.39,6/12/2011,2011
10954426,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.3,57.29,6/13/2011,2011
10954427,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.399,57.39,6/13/2011,2011
10954430,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.100,57.79,12/26/2010,2010
10954431,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.2,57.79,12/27/2010,2010
10954433,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.5,57.5,6/14/2011,2011
10954437,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.7,57.70,6/15/2011,2011
10954438,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2,57.89,6/15/2011,2011
10954439,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.399,58,12/27/2010,2010
10954441,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.5,58.20,12/27/2010,2010
10954442,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.600,58.20,12/27/2010,2010
10954443,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,1.7,58.29,12/28/2010,2010
10954449,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.299,57,12/16/2011,2011
10954452,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2,57.89,6/16/2011,2011
10954453,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.600,57,12/16/2011,2011
10954455,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.700,57.10,12/16/2011,2011
10954458,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,3,57.20,12/17/2011,2011
10954459,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.100,58,6/16/2011,2011
10954461,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.200,58.5,12/29/2010,2010
10954463,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.299,58.10,6/16/2011,2011
10954464,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.299,58.39,12/29/2010,2010
10954473,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.700,58.5,12/30/2010,2010
10954474,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.799,58.70,12/30/2010,2010
10954476,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,2.899,58.79,12/30/2010,2010
10954478,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,3.100,57.29,12/17/2011,2011
10954479,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,3.100,57.29,12/17/2011,2011
10954480,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,3.299,57.39,12/17/2011,2011
10954481,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,3.399,57.39,12/18/2011,2011
10954482,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,3.5,57.5,12/18/2011,2011
10954483,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,3.5,57.5,12/18/2011,2011
10954486,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,3,58.29,6/19/2011,2011
10954487,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,3.299,58.39,6/20/2011,2011
10954488,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,3.399,58.39,6/20/2011,2011
10954491,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,3.299,58.79,12/31/2010,2010
10954492,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,3.299,58.89,12/31/2010,2010
10954493,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,3.299,58.89,12/31/2010,2010
10954494,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,3.799,58.5,6/21/2011,2011
10954495,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,3.899,58.60,6/22/2011,2011
10954496,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,3.299,59.20,12/31/2010,2010
10954499,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,3.5,59,12/31/2010,2010
10954500,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,3.600,59.20,1/1/2011,2011
10954501,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,3.600,59.20,12/31/2010,2010
10954503,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,3.899,59.5,1/1/2011,2011
10954504,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,3.899,59.60,1/2/2011,2011
10954506,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,4.099,57.60,12/19/2011,2011
10954507,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,4.200,57.70,12/19/2011,2011
10954509,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,4.400,57.79,12/19/2011,2011
10954510,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,4.400,57.89,12/19/2011,2011
10954512,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,4.599,58,12/20/2011,2011
10954514,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,4.5,58.89,6/23/2011,2011
10954515,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,4.599,58,12/20/2011,2011
10954517,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,4.799,58.10,12/20/2011,2011
10954520,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,4.799,59,6/24/2011,2011
10954523,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,4.099,59.70,1/4/2011,2011
10954524,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,4.200,59.70,1/3/2011,2011
10954525,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,4.200,59.89,1/3/2011,2011
10954532,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,4.799,60,1/5/2011,2011
10954533,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,5.200,54.10,2/10/2011,2011
10954538,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,6.200,50.20,8/12/2011,2011
10954539,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,6.599,50.60,8/13/2011,2011
10954540,1014,IFREMER and Kelonia,Caretta caretta,Loggerhead,6.599,50.60,8/13/2011,2011
